最优灵敏度,适配评分,适配等级,环境适配,趋势捕获率%,效率分,回撤控分,资金分,胜率分,波动分,基金代码,基金名称,所属板块,回测区间,交易天数,策略收益%,年化收益%,买入持有%,买持年化%,超额收益%,最大回撤%,买持最大回撤%,回撤起始,回撤结束,回撤持续天数,夏普比率,卡尔马比率,日均波动%,最大单日涨%,最大单日跌%,均值回归率%,买入次数,卖出次数,胜率%,月度胜率%,平均盈利,平均亏损,盈亏比,中位盈亏,P10盈亏,P90盈亏,最大单笔盈利,最大单笔亏损,最大连续亏损次数,最大连续盈利次数,平均仓位%,持仓天数占比%,空仓天数占比%,平均持仓天数,中位持仓天数,最长持仓天数,已实现盈亏,剩余现金,持仓市值,期末总值,牛市半年数,牛市策略收益%,牛市买持收益%,熊市半年数,熊市策略收益%,熊市买持收益%,震荡半年数,震荡策略收益%,震荡买持收益%,牛市天数,震荡天数,熊市天数,信号:低位建仓,信号:冷却期后加仓,信号:冷却期后建仓,信号:分批止盈,信号:反弹建仓,信号:大跌抄底,信号:常规止损(L2),信号:延迟回补(分批止盈),信号:延迟回补(强势止盈),信号:延迟回补(慢涨止盈),信号:延迟回补(扭亏分批止盈),信号:延迟回补(扭亏强势止盈),信号:延迟回补(扭亏慢涨止盈),信号:延迟回补(扭亏止盈卖出),信号:延迟回补(止盈卖出),信号:强势止盈,信号:慢涨止盈,信号:扭亏分批止盈,信号:扭亏强势止盈,信号:扭亏慢涨止盈,信号:扭亏止盈卖出,信号:极端止损(L3),信号:止盈卖出,信号:温和回调建仓,信号:灾难保底减仓,信号:灾难保护,信号:灾难保护(暴跌),信号:短期深亏安全网,信号:补仓(第1次),信号:补仓(第2次),信号:补仓(第3次),信号:趋势确认减仓,信号:趋势转弱,信号:跌势放缓建仓,信号:连跌低吸,分批止盈:次数,分批止盈:胜率%,分批止盈:总盈亏,分批止盈:平均盈亏,常规止损(L2):次数,常规止损(L2):胜率%,常规止损(L2):总盈亏,常规止损(L2):平均盈亏,强势止盈:次数,强势止盈:胜率%,强势止盈:总盈亏,强势止盈:平均盈亏,慢涨止盈:次数,慢涨止盈:胜率%,慢涨止盈:总盈亏,慢涨止盈:平均盈亏,扭亏分批止盈:次数,扭亏分批止盈:胜率%,扭亏分批止盈:总盈亏,扭亏分批止盈:平均盈亏,扭亏强势止盈:次数,扭亏强势止盈:胜率%,扭亏强势止盈:总盈亏,扭亏强势止盈:平均盈亏,扭亏慢涨止盈:次数,扭亏慢涨止盈:胜率%,扭亏慢涨止盈:总盈亏,扭亏慢涨止盈:平均盈亏,扭亏止盈卖出:次数,扭亏止盈卖出:胜率%,扭亏止盈卖出:总盈亏,扭亏止盈卖出:平均盈亏,极端止损(L3):次数,极端止损(L3):胜率%,极端止损(L3):总盈亏,极端止损(L3):平均盈亏,止盈卖出:次数,止盈卖出:胜率%,止盈卖出:总盈亏,止盈卖出:平均盈亏,灾难保底减仓:次数,灾难保底减仓:胜率%,灾难保底减仓:总盈亏,灾难保底减仓:平均盈亏,灾难保护:次数,灾难保护:胜率%,灾难保护:总盈亏,灾难保护:平均盈亏,灾难保护(暴跌):次数,灾难保护(暴跌):胜率%,灾难保护(暴跌):总盈亏,灾难保护(暴跌):平均盈亏,短期深亏安全网:次数,短期深亏安全网:胜率%,短期深亏安全网:总盈亏,短期深亏安全网:平均盈亏,趋势确认减仓:次数,趋势确认减仓:胜率%,趋势确认减仓:总盈亏,趋势确认减仓:平均盈亏,趋势转弱:次数,趋势转弱:胜率%,趋势转弱:总盈亏,趋势转弱:平均盈亏
0.8,44.6,C-一般,全天候/熊市优/震荡优,26.1,2.6,21.2,4.1,6.7,10,011143,创金合信新材料新能源股票C,固态电池,2021-02-03 ~ 2026-06-30,1309,8.78,1.63,33.69,5.75,-24.91,19.14,54.67,2021-08-30,2024-02-05,1121,0.21,0.09,1.336,10.37,-10.04,51.8,56,289,38.1,44.6,35.78,-18.63,1.92,-0.24,-25.47,34.07,452.35,-287.88,45,26,20.5,98.0,2.0,15.6,8,83,787.89,9707.44,1170.79,10878.23,3,16.84,83.58,2,-9.66,-32.18,6,3.63,-7.98,0,1284,25,0,30,1,17,0,1,121,1,0,3,1,4,0,2,2,1,10,9,15,3,33,40,28,1,0,0,3,4,5,2,1,1,4,0,2,17,100.0,448.25,26.37,121,0.0,-1367.27,-11.3,1,100.0,0.45,0.45,10,100.0,272.85,27.29,9,66.7,51.47,5.72,15,100.0,1481.48,98.77,3,100.0,18.16,6.05,33,90.9,1079.68,32.72,40,0.0,-1022.56,-25.56,28,85.7,508.44,18.16,0,0,0,0,0,0,0,0,3,0.0,-133.15,-44.38,4,0.0,-403.79,-100.95,1,0.0,-220.95,-220.95,4,100.0,74.83,18.71
0.85,56.0,B-良好,全天候/熊市优/震荡优,31.7,14.3,21.6,3.4,6.7,10,006122,华安低碳生活混合A,固态电池,2020-05-27 ~ 2026-06-30,1480,56.92,7.97,179.63,19.14,-122.71,16.72,49.75,2021-11-22,2022-05-09,553,1.14,0.48,1.375,12.17,-12.36,52.7,50,226,54.0,44.6,66.22,-24.24,2.73,0.03,-32.28,102.24,957.0,-214.77,37,19,16.8,98.5,1.5,18.3,10,60,5630.84,13095.06,2597.3,15692.36,7,45.5,160.49,3,-1.41,-48.72,3,2.95,14.43,0,1439,41,1,22,3,12,0,0,77,2,0,0,0,3,0,3,4,1,16,3,21,0,26,21,31,2,0,0,0,2,5,4,0,1,15,0,1,12,100.0,437.01,36.42,77,0.0,-1066.97,-13.86,1,100.0,50.56,50.56,16,100.0,288.19,18.01,3,100.0,224.54,74.85,21,100.0,3452.7,164.41,0,0,0,0,26,92.3,1872.0,72.0,21,0.0,-1116.83,-53.18,31,96.8,1636.15,52.78,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-96.33,-48.16,1,0.0,-167.94,-167.94,15,100.0,117.76,7.85
0.8,53.8,C-一般,熊市优,20.7,9.9,23.0,4.0,6.9,10,004846,南华瑞盈混合发起C,固态电池,2020-05-27 ~ 2026-06-30,1480,30.32,4.61,146.27,16.59,-115.95,14.0,49.65,2021-07-12,2024-09-18,785,0.52,0.33,1.257,11.6,-8.41,51.1,43,306,51.0,45.9,27.42,-14.52,1.89,0.01,-8.25,23.69,497.86,-190.51,31,23,20.2,97.0,3.0,14.7,9,55,2521.59,11095.08,1937.05,13032.13,5,35.97,140.03,2,-6.23,-25.49,6,-1.24,-1.94,0,1454,26,2,19,2,13,0,0,110,2,0,0,0,1,1,7,0,2,13,35,9,10,56,18,30,1,1,0,0,0,4,3,0,1,8,0,1,13,100.0,149.13,11.47,110,0.0,-906.5,-8.24,2,100.0,3.32,1.66,13,100.0,428.81,32.99,35,77.1,87.05,2.49,9,100.0,1580.4,175.6,10,90.0,12.43,1.24,56,89.3,1330.83,23.76,18,0.0,-744.57,-41.37,30,86.7,546.44,18.21,1,0.0,-102.6,-102.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-2.7,-2.7,8,87.5,139.55,17.44
0.89,52.23,,,90.1,8.49,22.67,4.01,7.05,10.0,---,【固态电池】平均,固态电池,,,23.64,4.13,39.55,4.58,-15.91,15.82,53.96,,,839.45,0.54,0.28,1.28,10.43,-10.02,50.93,42.0,247.7,49.6,47.01,35.35,-20.1,1.76,-0.02,-21.98,34.33,747.09,-246.11,41.18,23.82,20.02,98.0,2.0,18.68,13.09,81.64,2152.53,,,12364.53,3.55,25.51,88.46,3.0,-8.17,-47.34,4.73,5.22,-0.45,0.9,19.0,2.6,20.9,0.1,0.7,81.5,1.8,0.0,1.1,0.3,1.6,0.3,2.4,1.5,1.2,12.8,15.3,8.9,3.8,36.0,25.5,30.2,1.1,0.2,0.1,0.5,0.6,4.7,2.6,0.5,1.7,8.5,0.1,0.5,20.9,90.9,406.17,19.43,81.5,0.0,-908.88,-11.16,1.2,100.0,31.3,26.49,12.8,96.5,292.45,22.82,15.3,81.0,90.67,5.94,8.9,99.0,1021.56,114.67,3.8,83.3,41.42,10.85,36.0,86.1,1099.8,30.55,25.5,0.0,-1042.47,-40.81,30.2,91.3,1182.74,39.19,0.2,0.0,-9.33,-51.3,0.1,0.0,-15.57,-171.23,0.5,0.0,-13.99,-25.65,0.6,0.0,-50.22,-78.91,1.7,0.0,-63.78,-36.92,8.5,93.5,90.65,10.72
0.8,50.5,C-一般,熊市优,27.1,7.1,23.2,3.8,6.4,10,014353,东方创新成长混合C,云计算/算力租赁,2022-06-13 ~ 2026-06-30,985,11.32,2.78,41.79,9.34,-30.47,11.76,43.51,2022-08-18,2024-09-23,724,0.39,0.24,1.5,12.56,-10.39,51.3,30,191,57.6,42.9,25.11,-25.66,0.98,0.03,-19.83,25.21,744.49,-269.28,24,33,19.0,98.2,1.8,15.7,3,63,1119.93,10924.73,207.75,11132.48,3,16.79,72.96,2,-4.03,-28.23,4,-0.66,3.27,0,948,37,1,15,2,18,0,1,40,1,0,0,0,1,1,2,0,1,17,13,8,5,25,20,20,1,0,0,1,1,3,2,0,2,20,0,0,18,61.1,37.37,2.08,40,0.0,-511.56,-12.79,1,100.0,0.03,0.03,17,88.2,193.66,11.39,13,100.0,64.76,4.98,8,75.0,1171.22,146.4,5,100.0,10.37,2.07,25,84.0,576.37,23.05,20,0.0,-819.06,-40.95,20,90.0,427.71,21.39,0,0,0,0,0,0,0,0,1,0.0,-21.47,-21.47,1,0.0,-66.09,-66.09,2,0.0,-224.36,-112.18,20,100.0,280.98,14.05
0.8,50.5,,,27.1,7.1,23.2,3.8,6.4,10.0,---,【云计算/算力租赁】平均,云计算/算力租赁,,,11.32,2.78,41.79,9.34,-30.47,11.76,43.51,,,724.0,0.39,0.24,1.5,12.56,-10.39,51.3,30.0,191.0,57.6,42.9,25.11,-25.66,0.98,0.03,-19.83,25.21,744.49,-269.28,24.0,33.0,19.0,98.2,1.8,15.7,3.0,63.0,1119.93,,,11132.48,3.0,16.79,72.96,2.0,-4.03,-28.23,4.0,-0.66,3.27,1.0,15.0,2.0,18.0,0.0,1.0,40.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,17.0,13.0,8.0,5.0,25.0,20.0,20.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,20.0,0.0,0.0,18.0,61.1,37.37,2.08,40.0,0.0,-511.56,-12.79,1.0,100.0,0.03,0.03,17.0,88.2,193.66,11.39,13.0,100.0,64.76,4.98,8.0,75.0,1171.22,146.4,5.0,100.0,10.37,2.07,25.0,84.0,576.37,23.05,20.0,0.0,-819.06,-40.95,20.0,90.0,427.71,21.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-21.47,-21.47,1.0,0.0,-66.09,-66.09,2.0,0.0,-224.36,-112.18,20.0,100.0,280.98,14.05
1.2,55.1,B-良好,全天候/熊市优/震荡优,200.4,10.9,25,2.5,6.7,10,007519,东方阿尔法优选混合C,机器人,2020-05-27 ~ 2026-06-30,1480,21.99,3.44,-21.9,-4.12,43.89,9.43,69.55,2021-08-31,2024-02-05,769,0.56,0.36,1.397,10.21,-12.85,50.3,43,292,33.2,44.6,36.71,-8.22,4.47,-0.1,-6.01,20.08,712.35,-274.1,49,22,12.6,98.3,1.7,20.9,10,74,2114.01,10258.76,1940.17,12198.93,4,20.09,87.32,7,-4.77,-92.45,2,5.65,-3.31,0,1433,47,1,24,3,17,1,0,141,1,0,2,0,2,0,0,1,2,7,13,11,5,23,26,17,1,11,2,1,1,5,2,0,6,9,0,0,17,82.4,254.43,14.97,141,0.0,-318.65,-2.26,2,100.0,11.11,5.55,7,85.7,168.15,24.02,13,92.3,357.43,27.49,11,90.9,1207.64,109.79,5,100.0,115.07,23.01,23,100.0,112.29,4.88,26,0.0,-657.75,-25.3,17,94.1,1267.03,74.53,11,0.0,-106.08,-9.64,2,0.0,-352.48,-176.24,1,0.0,-4.06,-4.06,1,0.0,-3.5,-3.5,6,16.7,-4.1,-0.68,9,88.9,67.48,7.5
1.2,58.7,B-良好,全天候/熊市优/震荡优,100.0,15.4,25,2.8,5.5,10,001830,融通跨界成长灵活配置混合,机器人,2020-05-27 ~ 2026-06-30,1480,23.05,3.6,-1.82,-0.31,24.87,7.03,46.24,2021-01-12,2024-02-05,978,0.71,0.51,0.934,7.7,-6.08,49.8,35,250,60.8,36.5,19.36,-8.16,2.37,0.03,-4.18,26.05,583.01,-118.56,34,25,13.8,97.0,3.0,19.2,6,105,2305.49,12302.46,2.92,12305.38,3,13.31,64.64,3,2.59,-51.29,7,5.61,-2.02,0,1459,21,1,21,1,31,0,0,53,1,0,2,1,0,0,1,0,0,18,22,3,2,59,19,30,1,1,0,1,0,2,2,1,4,7,0,1,31,90.3,585.87,18.9,53,0.0,-202.52,-3.82,0,0,0,0,18,100.0,142.51,7.92,22,72.7,53.01,2.41,3,100.0,150.78,50.26,2,100.0,66.53,33.27,59,88.1,813.53,13.79,19,0.0,-307.66,-16.19,30,86.7,1031.18,34.37,1,0.0,-1.17,-1.17,0,0,0,0,1,0.0,-118.56,-118.56,0,0,0,0,4,0.0,-6.62,-1.66,7,100.0,98.61,14.09
0.9,49.2,C-一般,全天候/熊市优/震荡优,121.7,5.4,23.8,4.6,5.4,10,016635,国联安气候变化混合A,机器人,2023-01-04 ~ 2026-06-30,844,8.89,2.58,-41.06,-14.6,49.95,14.42,58.21,2023-01-31,2024-02-20,409,0.3,0.18,1.422,10.12,-13.13,49.8,29,196,48.0,35.7,25.02,-18.32,1.37,0.0,-12.98,20.82,387.72,-333.66,42,29,23.0,97.6,2.4,16.1,10,62,922.91,10330.54,558.52,10889.06,1,11.18,33.04,3,-15.61,-67.07,3,14.75,-3.64,0,805,39,0,14,4,14,0,0,62,0,0,0,0,0,0,4,0,0,4,13,7,9,40,17,16,1,1,0,0,0,4,2,0,1,12,0,0,14,78.6,357.28,25.52,62,0.0,-335.76,-5.42,0,0,0,0,4,100.0,21.03,5.26,13,69.2,47.23,3.63,7,85.7,560.04,80.01,9,55.6,0.35,0.04,40,85.0,1182.39,29.56,17,0.0,-1048.55,-61.68,16,81.2,25.35,1.58,1,0.0,-0.04,-0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-44.7,-44.7,12,100.0,158.29,13.19
0.85,47.7,C-一般,全天候/熊市优/震荡优,125.2,3.2,24.7,4.3,5.5,10,002053,诺安优势行业混合C,机器人,2020-05-27 ~ 2026-06-30,1480,8.06,1.33,-31.93,-6.34,39.99,12.64,59.61,2021-11-09,2022-04-26,545,0.22,0.11,1.137,10.29,-12.87,46.8,43,283,41.3,36.5,22.94,-13.04,1.76,-0.01,-19.77,11.73,364.45,-197.58,44,30,21.3,99.0,1.0,13.7,4,198,806.09,10805.93,0.12,10806.05,3,14.45,49.93,5,-12.32,-86.4,5,6.73,13.06,0,1437,43,0,19,2,10,0,1,121,0,0,0,1,5,1,4,3,0,7,16,14,7,44,25,19,0,0,1,2,7,3,2,1,2,8,1,0,10,100.0,70.06,7.01,121,0.0,-820.62,-6.78,0,0,0,0,7,85.7,153.64,21.95,16,100.0,127.74,7.98,14,92.9,791.02,56.5,7,85.7,80.76,11.54,44,93.2,1028.99,23.39,25,0.0,-785.25,-31.41,19,89.5,406.63,21.4,0,0,0,0,1,0.0,-56.09,-56.09,2,0.0,-82.52,-41.26,7,0.0,-129.13,-18.45,2,0.0,-4.19,-2.1,8,100.0,25.05,3.13
1.2,52.4,C-一般,全天候/熊市优/震荡优,100.0,9.9,25,2.4,5.1,10,001271,英大灵活配置混合型发起式B,机器人,2020-05-27 ~ 2026-06-30,1480,16.75,2.67,0.28,0.05,16.47,8.06,50.07,2021-07-12,2022-04-25,635,0.5,0.33,1.179,8.36,-11.25,49.4,39,266,50.8,33.8,26.05,-15.67,1.66,0.01,-9.89,16.32,444.55,-287.53,32,23,12.1,98.3,1.7,16.2,10,42,1918.48,8747.43,2927.48,11674.91,4,14.8,79.2,4,-4.93,-60.18,5,6.21,-3.77,0,1436,44,2,15,1,29,0,1,80,3,0,4,0,0,0,4,3,0,18,15,4,2,47,23,36,1,0,0,0,0,4,1,0,4,8,0,0,29,79.3,952.09,32.83,80,0.0,-809.42,-10.12,0,0,0,0,18,100.0,405.15,22.51,15,86.7,6.86,0.46,4,100.0,227.14,56.78,2,50.0,0.05,0.03,47,80.9,758.67,16.14,23,0.0,-748.61,-32.55,36,83.3,1051.52,29.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,-39.85,-9.96,8,100.0,114.88,14.36
0.95,64.2,B-良好,熊市优,102.5,19.6,24.7,3.4,6.5,10,004522,安信工业4.0灵活配置混合C,机器人,2020-05-27 ~ 2026-06-30,1480,31.27,4.74,30.5,4.64,0.77,7.27,34.04,2021-11-22,2024-02-05,901,0.94,0.65,0.917,10.51,-7.71,51.3,34,216,42.6,43.2,44.68,-10.8,4.14,0.0,-6.27,10.7,1267.26,-207.94,51,19,16.8,99.5,0.5,15.3,5,61,3073.56,11928.67,1198.12,13126.79,4,32.25,62.01,1,-1.62,-15.32,8,-1.81,-14.03,0,1463,17,0,17,1,25,0,1,93,1,0,0,0,1,0,3,3,1,16,3,8,2,13,21,24,1,0,0,0,0,3,2,1,1,9,0,0,25,92.0,114.39,4.58,93,0.0,-319.38,-3.43,1,100.0,295.61,295.61,16,100.0,45.6,2.85,3,100.0,29.65,9.88,8,100.0,1773.59,221.7,2,50.0,0.32,0.16,13,92.3,239.0,18.38,21,0.0,-678.1,-32.29,24,79.2,1558.72,64.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-39.41,-39.41,9,100.0,53.57,5.95
1.0,56.1,B-良好,全天候/熊市优/震荡优,186.0,10.4,25,3.0,7.7,10,004233,中欧盛世成长混合(LOF)C,机器人,2020-05-27 ~ 2026-06-30,1480,26.41,4.07,14.2,2.29,12.21,11.78,60.47,2022-08-23,2024-02-05,798,0.65,0.35,1.434,10.99,-11.99,50.5,44,284,54.6,51.4,31.03,-18.22,1.7,0.01,-15.03,44.52,641.56,-229.93,28,21,15.2,97.0,3.0,16.8,12,47,2640.98,12637.8,3.19,12640.99,3,21.76,86.32,4,-0.33,-51.12,6,3.23,-5.03,0,1419,61,2,22,4,20,0,1,85,0,0,1,0,3,0,4,0,2,15,20,13,7,39,25,38,0,2,0,0,5,3,2,1,2,11,0,1,20,100.0,890.42,44.52,85,0.0,-905.24,-10.65,2,50.0,0.03,0.01,15,100.0,285.11,19.01,20,90.0,4.43,0.22,13,100.0,1072.65,82.51,7,85.7,1.1,0.16,39,92.3,731.46,18.76,25,0.0,-862.06,-34.48,38,92.1,1685.13,44.35,2,0.0,-0.58,-0.29,0,0,0,0,0,0,0,0,5,0.0,-295.28,-59.06,2,0.0,-105.04,-52.52,11,100.0,138.85,12.62
0.95,68.0,B-良好,震荡优,65.5,24.4,22.0,5.3,6.3,10,017994,方正富邦远见成长混合C,机器人,2023-05-18 ~ 2026-06-30,757,28.14,8.61,42.97,12.64,-14.83,10.57,32.93,2023-07-13,2024-02-05,298,0.89,0.81,1.413,8.65,-15.1,47.5,20,129,60.5,42.1,54.01,-36.8,1.47,0.07,-18.25,133.65,613.26,-403.96,22,19,26.6,95.0,5.0,24.5,22,84,2814.32,12814.32,0,12814.32,2,22.8,58.23,0,0,0,5,4.69,-13.29,0,730,27,1,8,3,13,0,0,24,0,0,0,0,0,0,0,2,0,6,4,4,0,16,10,44,3,2,0,0,2,3,0,0,0,4,0,0,13,76.9,214.23,16.48,24,0.0,-461.85,-19.24,0,0,0,0,6,100.0,349.13,58.19,4,50.0,161.71,40.43,4,100.0,705.98,176.5,0,0,0,0,16,93.8,700.02,43.75,10,0.0,-924.21,-92.42,44,84.1,2053.37,46.67,2,0.0,-5.46,-2.73,0,0,0,0,0,0,0,0,2,0.0,-6.96,-3.48,0,0,0,0,4,100.0,28.36,7.09
1.3,52.5,C-一般,全天候/熊市优/震荡优,169.7,9.9,23.5,3.2,5.9,10,014409,创金合信兴选产业趋势混合C,机器人,2022-12-23 ~ 2026-06-30,738,10.37,3.43,6.11,2.04,4.26,10.43,40.11,2023-06-16,2024-09-18,382,0.45,0.33,1.382,10.79,-12.02,48.1,21,141,47.5,39.5,32.99,-18.62,1.77,0.0,-23.98,22.04,527.79,-199.89,52,16,16.1,95.4,4.6,19.2,8,80,1037.28,11035.71,1.66,11037.37,2,13.16,58.74,3,-2.82,-39.9,3,0.41,-2.05,0,722,16,1,12,3,12,0,0,49,0,0,0,0,1,0,2,0,0,5,8,5,4,19,10,23,0,0,0,0,0,1,1,0,4,2,0,0,12,91.7,101.63,8.47,49,0.0,-854.52,-17.44,0,0,0,0,5,100.0,2.59,0.52,8,87.5,61.35,7.67,5,100.0,914.87,182.97,4,75.0,29.34,7.33,19,78.9,424.53,22.34,10,0.0,-268.96,-26.9,23,82.6,675.76,29.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,-49.63,-12.41,2,100.0,0.32,0.16
0.9,45.7,C-一般,全天候/熊市优/震荡优,135.7,4.5,21.2,3.5,6.5,10,014700,东方高端制造混合C,机器人,2023-04-13 ~ 2026-06-30,779,7.33,2.31,-20.55,-7.17,27.88,15.41,43.61,2023-06-20,2024-09-23,313,0.31,0.15,1.446,11.46,-12.21,48.4,25,147,46.9,43.6,28.82,-19.97,1.44,0.0,-22.71,31.01,510.02,-204.05,38,23,17.5,98.8,1.2,21.0,12,67,830.71,8648.47,2084.1,10732.57,2,17.4,49.17,3,-10.39,-54.05,2,1.6,-6.21,0,751,28,1,11,0,16,0,0,50,0,0,0,1,2,0,1,0,0,2,15,3,2,18,14,15,3,1,0,0,0,3,3,0,1,10,0,0,16,75.0,95.01,5.94,50,0.0,-445.98,-8.92,0,0,0,0,2,100.0,97.46,48.73,15,86.7,106.69,7.11,3,100.0,581.43,193.81,2,0.0,0.0,0.0,18,88.9,908.4,50.47,14,0.0,-703.1,-50.22,15,93.3,116.3,7.75,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-8.98,-8.98,10,90.0,83.48,8.35
0.9,49.9,C-一般,全天候/熊市优/震荡优,206.9,4.1,23.8,4.5,7.5,10,005542,前海开源盛鑫混合C,机器人,2020-05-27 ~ 2026-06-30,1480,13.28,2.15,-12.42,-2.23,25.7,15.8,63.46,2020-07-09,2024-02-02,1110,0.33,0.14,1.192,7.86,-11.38,48.8,38,265,58.9,50.0,20.23,-21.27,0.95,0.02,-23.32,17.29,544.96,-248.62,22,22,22.3,98.4,1.6,22.0,13,91,1305.49,10061.17,1266.69,11327.86,3,20.61,74.31,4,-7.7,-67.38,6,0.88,-4.68,0,1437,43,2,18,3,57,1,0,59,2,0,1,0,1,0,0,2,0,31,7,6,2,14,20,34,1,0,0,0,2,5,2,0,8,25,0,0,57,84.2,547.24,9.6,59,0.0,-783.95,-13.29,0,0,0,0,31,74.2,222.75,7.19,7,85.7,5.16,0.74,6,100.0,1004.72,167.45,2,100.0,1.05,0.53,14,100.0,189.01,13.5,20,0.0,-764.61,-38.23,34,94.1,972.08,28.59,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-92.71,-46.35,8,0.0,-209.33,-26.17,25,100.0,214.08,8.56
1.05,48.2,C-一般,全天候/熊市优/牛市可,92.3,6.2,20.9,4.8,6.3,10,014962,国联兴鸿优选混合C,机器人,2022-12-23 ~ 2026-06-30,851,10.59,3.03,11.47,3.27,-0.88,14.56,40.14,2023-02-13,2024-09-13,710,0.45,0.21,0.92,6.56,-9.87,48.5,27,117,38.5,41.9,58.78,-23.29,2.52,-3.33,-41.27,25.0,923.14,-145.48,45,12,23.8,96.8,3.2,17.5,11,66,1060.94,10916.65,142.56,11059.21,2,20.38,33.04,1,-5.92,-14.03,5,-2.92,-3.59,0,843,8,1,14,1,7,0,0,50,0,0,0,0,0,0,3,0,0,2,3,5,0,14,17,17,1,0,0,0,0,3,2,1,1,1,1,0,7,100.0,175.71,25.1,50,0.0,-833.24,-16.66,0,0,0,0,2,100.0,5.44,2.72,3,100.0,60.68,20.23,5,100.0,1052.76,210.55,0,0,0,0,14,92.9,1244.2,88.87,17,0.0,-748.65,-44.04,17,82.4,103.73,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-2.16,-2.16,1,100.0,2.47,2.47
0.95,52.1,C-一般,熊市优,100.8,7.9,22.8,4.6,6.8,10,008998,同泰竞争优势混合C,机器人,2020-06-16 ~ 2026-06-30,1466,29.91,4.6,29.66,4.57,0.25,17.45,60.43,2021-07-01,2025-01-06,876,0.5,0.26,1.556,9.18,-14.25,48.5,42,209,46.9,45.2,53.8,-22.57,2.38,0.0,-30.08,57.94,632.45,-239.82,29,26,23.1,97.2,2.8,17.4,16,50,2947.36,11814.02,1177.22,12991.24,4,42.93,102.21,3,-10.29,-50.29,6,-2.92,-7.44,0,1418,48,2,22,1,13,0,1,68,0,1,0,1,0,0,1,2,4,7,10,12,7,18,19,21,2,0,0,2,1,6,3,0,12,15,0,0,13,84.6,346.74,26.67,68,0.0,-689.87,-10.15,4,100.0,253.44,63.36,7,85.7,80.98,11.57,10,70.0,600.52,60.05,12,100.0,1884.58,157.05,7,100.0,104.07,14.87,18,94.4,778.44,43.25,19,0.0,-900.87,-47.41,21,90.5,985.94,46.95,0,0,0,0,0,0,0,0,2,0.0,-230.12,-115.06,1,0.0,-43.3,-43.3,12,0.0,-460.63,-38.39,15,100.0,237.44,15.83
0.85,55.5,B-良好,全天候/熊市优/震荡优,47.4,11.5,23.5,2.7,7.8,10,014243,富国新材料新能源混合C,机器人,2022-01-07 ~ 2026-06-30,1085,22.5,4.83,47.46,9.44,-24.96,12.6,48.39,2022-08-18,2024-01-31,515,0.66,0.38,1.691,10.86,-12.19,50.0,42,198,62.1,51.9,39.47,-40.05,0.99,0.07,-26.62,48.16,1008.9,-409.9,26,18,13.5,96.9,3.1,17.7,16,51,2251.11,11493.37,757.1,12250.47,4,16.32,101.49,3,-6.07,-48.41,2,12.01,4.23,0,1031,54,1,19,1,10,0,0,42,1,0,0,0,3,0,4,0,1,4,9,17,5,43,16,35,3,2,0,0,3,5,3,1,2,9,1,0,10,90.0,849.88,84.99,42,0.0,-410.5,-9.77,1,100.0,88.06,88.06,4,100.0,243.17,60.79,9,100.0,57.67,6.41,17,100.0,902.63,53.1,5,100.0,32.28,6.46,43,88.4,1220.58,28.39,16,0.0,-1263.52,-78.97,35,88.6,1351.78,38.62,2,0.0,-171.72,-85.86,0,0,0,0,0,0,0,0,3,0.0,-127.92,-42.64,2,0.0,-629.43,-314.71,9,100.0,108.15,12.02
